Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1449,0,99.868828,-72.689941,950.551697,154.132614,42.944897,834.567383,133.559723,36.338501,909.447021,140.756378,102.301849,873.991455,135.738327,185.627914,828.553406,,,,156.96048,413.03772,801.132874,112.601883,414.659485,842.705872,115.999039,312.564117,864.650085,152.198883,498.610687,857.900879
1450,0,99.952461,-72.64151,950.477661,154.243408,42.732635,834.078369,133.680588,36.344326,908.976685,140.908203,102.191696,873.294922,135.930054,185.378235,827.590332,,,,156.970993,412.736145,799.649048,112.634636,414.40567,841.2323,116.126106,312.381226,863.38623,152.160645,498.409302,856.253845
1451,0,100.037888,-72.59687,950.404663,154.359543,42.511589,833.585327,133.805908,36.344009,908.502869,141.066742,102.073135,872.592163,136.131531,185.118668,826.618347,,,,156.980103,412.421906,798.163208,112.66806,414.136536,839.757812,116.258842,312.184784,862.116394,152.123245,498.192902,854.605347
1452,0,100.125099,-72.555923,950.332581,154.480927,42.281868,833.088257,133.935623,36.33765,908.025452,141.231888,101.946266,871.882935,136.342499,184.849182,825.637329,,,,156.987823,412.095306,796.674927,112.70208,413.852356,838.281921,116.397118,311.974915,860.840271,152.086533,497.961731,852.954834
1453,0,100.214096,-72.518517,950.261353,154.607452,42.043583,832.587341,134.069656,36.325367,907.544556,141.403473,101.811172,871.167358,136.562714,184.569839,824.647278,,,,156.994171,411.756348,795.183716,112.736626,413.553375,836.804382,116.540756,311.751801,859.557739,152.0504,497.716095,851.301819
1454,0,100.304871,-72.484535,950.190857,154.739029,41.796822,832.082458,134.20787,36.307243,907.059998,141.581345,101.667923,870.445374,136.792007,184.28064,823.648193,,,,156.99913,411.405212,793.689209,112.771667,413.239929,835.324646,116.689621,311.515717,858.268677,152.014786,497.456207,849.645874
1455,0,100.39743,-72.453865,950.121033,154.875534,41.541691,831.573547,134.35022,36.28339,906.571838,141.76535,101.516617,869.71698,137.030106,183.981583,822.640015,,,,157.00267,411.042023,792.191101,112.807106,412.912109,833.842468,116.843552,311.266815,856.9729,151.979599,497.182281,847.986572
1456,0,100.491737,-72.426361,950.051758,155.016861,41.278275,831.060669,134.496597,36.253887,906.0802,141.955399,101.357315,868.982239,137.27684,183.672684,821.622681,,,,157.004852,410.666962,790.688965,112.842888,412.57019,832.357361,117.002388,311.005219,855.670166,151.944717,496.894592,846.323425
1457,0,100.587822,-72.401932,949.983093,155.162903,41.006649,830.543823,134.646957,36.218838,905.584778,142.151306,101.190071,868.241089,137.531982,183.353928,820.596191,,,,157.00563,410.28009,789.182556,112.878952,412.214355,830.869019,117.166016,310.731018,854.360413,151.910019,496.593292,844.656067
1458,0,100.685646,-72.380463,949.914978,155.313553,40.726906,830.022949,134.801178,36.178318,905.085754,142.352982,101.014946,867.49353,137.795334,183.025345,819.560669,,,,157.00499,409.88147,787.671448,112.91523,411.844879,829.377136,117.334267,310.444519,853.043457,151.875458,496.278595,842.98407
1459,0,100.78521,-72.361809,949.847107,155.468704,40.439114,829.498108,134.959229,36.132408,904.583008,142.560257,100.832001,866.739502,138.066666,182.686874,818.515869,,,,157.002991,409.471252,786.155273,112.951683,411.461823,827.881287,117.507019,310.145691,851.719116,151.840927,495.950653,841.30719
1460,0,100.886513,-72.345901,949.779541,155.628204,40.143349,828.969238,135.120972,36.081188,904.076477,142.773026,100.641281,865.978943,138.345795,182.338547,817.461975,,,,156.999557,409.049408,784.633911,112.988228,411.06543,826.381226,117.684128,309.834717,850.387451,151.80629,495.60965,839.624878
1461,0,100.989532,-72.332611,949.712402,155.792007,39.839672,828.43634,135.286423,36.024719,903.566162,142.991165,100.442818,865.212036,138.632538,181.980331,816.398865,,,,156.994751,408.616119,783.106995,113.024818,410.655823,824.876526,117.865456,309.511749,849.048157,151.77153,495.255768,837.93689
1462,0,101.094261,-72.321846,949.645264,155.959961,39.528149,827.899475,135.455429,35.963089,903.052185,143.214554,100.236679,864.438599,138.926697,181.612167,815.326599,,,,156.98851,408.171448,781.574219,113.061386,410.233124,823.367188,118.050888,309.176819,847.70105,151.736526,494.889069,836.242859
1463,0,101.200676,-72.313492,949.578369,156.131989,39.208847,827.358521,135.627975,35.896343,902.534424,143.443069,100.022881,863.658752,139.228088,181.234055,814.245117,,,,156.980881,407.715332,780.0354,113.097885,409.797455,821.8526,118.240288,308.830048,846.346313,151.701202,494.509766,834.542603
1464,0,101.308784,-72.307465,949.511536,156.307953,38.881824,826.81366,135.80397,35.824547,902.012817,143.676559,99.801476,862.872437,139.53653,180.845978,813.15448,,,,156.971878,407.247894,778.490173,113.134247,409.34906,820.332886,118.433525,308.471497,844.983643,151.665466,494.11792,832.835693
1465,0,101.418541,-72.303658,949.444702,156.487747,38.547131,826.264771,135.983353,35.747765,901.487366,143.914948,99.572479,862.07959,139.851837,180.447845,812.054565,,,,156.961456,406.769196,776.938538,113.170448,408.887878,818.807495,118.630508,308.101288,843.613037,151.629242,493.713654,831.12207
1466,0,101.529945,-72.301987,949.377747,156.671295,38.204826,825.711975,136.166046,35.66605,900.958069,144.158142,99.335922,861.280457,140.173874,180.039703,810.945618,,,,156.949631,406.279236,775.38031,113.206406,408.414124,817.276428,118.831093,307.719452,842.234436,151.592468,493.297058,829.401367
1467,0,101.64299,-72.302338,949.310791,156.858505,37.854969,825.155212,136.35202,35.579445,900.424927,144.40596,99.091843,860.474854,140.502441,179.621429,809.827576,,,,156.936401,405.777954,773.815186,113.242096,407.927826,815.739441,119.035172,307.325989,840.847717,151.555054,492.868256,827.673401
1468,0,101.757622,-72.304657,949.243652,157.049255,37.497601,824.594482,136.541153,35.48801,899.888062,144.65834,98.84024,859.662842,140.837357,179.193008,808.700378,,,,156.921814,405.265533,772.243225,113.277458,407.429169,814.196472,119.242638,306.921051,839.453003,151.516953,492.427216,825.93811
1469,0,101.873863,-72.308838,949.17627,157.243439,37.132786,824.029968,136.733444,35.391773,899.34729,144.915176,98.581169,858.844543,141.178497,178.754395,807.564087,,,,156.905823,404.741913,770.664124,113.312439,406.918121,812.647278,119.453384,306.504639,838.05011,151.478104,491.974182,824.195251
1470,0,101.991669,-72.314804,949.108643,157.44104,36.760559,823.46167,136.928772,35.290798,898.802673,145.176346,98.314629,858.019897,141.525711,178.305557,806.418701,,,,156.888474,404.207062,769.07782,113.347,406.394806,811.091797,119.667305,306.076752,836.639282,151.438431,491.509064,822.444885
1471,0,102.111015,-72.322472,949.040833,157.641907,36.380978,822.889526,137.127106,35.185104,898.254395,145.441772,98.040642,857.188965,141.87886,177.84642,805.264526,,,,156.86972,403.661011,767.484497,113.381104,405.859222,809.529968,119.884293,305.637482,835.220276,151.397873,491.031952,820.686829
1472,0,102.231873,-72.331779,948.972595,157.845993,35.994091,822.313721,137.328369,35.074749,897.702271,145.711304,97.759216,856.351868,142.237747,177.376938,804.101318,,,,156.84964,403.103729,765.883789,113.414688,405.311554,807.96167,120.10424,305.186768,833.793213,151.356354,490.542877,818.920898
1473,0,102.35424,-72.342636,948.904053,158.053207,35.599937,821.734314,137.532516,34.959743,897.146362,145.984879,97.470375,855.508606,142.60228,176.897079,802.92926,,,,156.828171,402.535309,764.27594,113.447731,404.751678,806.387024,120.327065,304.724701,832.358215,151.313889,490.041901,817.1474
1474,0,102.478081,-72.354973,948.835083,158.263489,35.198563,821.151245,137.739502,34.840137,896.586731,146.26236,97.174133,854.659363,142.972321,176.406754,801.748596,,,,156.805359,401.955688,762.66095,113.480194,404.17981,804.805847,120.552666,304.251221,830.915344,151.27034,489.529083,815.366089
1475,0,102.603355,-72.368729,948.765625,158.476791,34.790005,820.56488,137.949219,34.715942,896.023376,146.543701,96.870499,853.804199,143.347748,175.905975,800.559082,,,,156.781189,401.364868,761.038635,113.512032,403.595825,803.218323,120.780945,303.766418,829.464539,151.225723,489.004364,813.577026
1476,0,102.730042,-72.383827,948.695801,158.693024,34.374313,819.975037,138.161636,34.587196,895.456482,146.828766,96.559486,852.943115,143.728455,175.394608,799.361145,,,,156.755692,400.762756,759.409241,113.543198,402.999908,801.62439,121.011818,303.270264,828.006104,151.179993,488.467804,811.780457
1477,0,102.858124,-72.40023,948.625366,158.912155,33.951519,819.381958,138.376678,34.453918,894.885925,147.117477,96.241112,852.076233,144.114273,174.87265,798.154785,,,,156.728851,400.149475,757.772949,113.573677,402.391937,800.024231,121.245193,302.762695,826.539917,151.133087,487.919403,809.976318
1478,0,102.987556,-72.417847,948.554565,159.134125,33.521656,818.785706,138.594299,34.316128,894.311768,147.40976,95.915367,851.203735,144.505096,174.340057,796.940002,,,,156.700668,399.524933,756.129639,113.603416,401.771973,798.417786,121.480988,302.243713,825.066406,151.084991,487.359161,808.164917
1479,0,103.118324,-72.436646,948.483093,159.358871,33.08477,818.186523,138.814468,34.173836,893.734192,147.705475,95.582275,850.325562,144.900879,173.796722,795.717102,,,,156.671188,398.889099,754.479614,113.632393,401.140045,796.805359,121.719124,301.713318,823.585449,151.035629,486.787048,806.346252
1480,0,103.250366,-72.456558,948.411255,159.586395,32.640888,817.584412,139.037094,34.027061,893.153259,148.004593,95.241844,849.4422,145.301453,173.242661,794.486145,,,,156.64035,398.241974,752.822937,113.660583,400.496155,795.187012,121.959511,301.171539,822.09729,150.984985,486.203064,804.520569
1481,0,103.383682,-72.477539,948.338745,159.816635,32.190056,816.979492,139.262115,33.875824,892.568909,148.306961,94.894066,848.553406,145.706741,172.677734,793.247314,,,,156.608246,397.583527,751.15979,113.687935,399.840302,793.562805,122.20208,300.618286,820.602234,150.933044,485.607269,802.688049
1482,0,103.518219,-72.499542,948.265625,160.049576,31.732294,816.371948,139.489487,33.720116,891.981323,148.612579,94.538948,847.659607,146.116669,172.10199,792.000793,,,,156.574799,396.913696,749.490356,113.714417,399.172485,791.933044,122.446754,300.053558,819.100342,150.879761,484.999573,800.84906
1483,0,103.653946,-72.522522,948.191956,160.285156,31.267639,815.761902,139.719177,33.559959,891.390503,148.92128,94.176491,846.760742,146.531128,171.515289,790.746704,,,,156.54007,396.232605,747.815002,113.740021,398.492676,790.297974,122.693459,299.477295,817.591858,150.825073,484.379944,799.003906
1484,0,103.790825,-72.546425,948.117737,160.523392,30.79612,815.149536,139.951096,33.395355,890.79657,149.233078,93.806717,845.856995,146.950043,170.917618,789.485168,,,,156.504028,395.5401,746.133911,113.764687,397.800903,788.657776,122.942131,298.889526,816.076965,150.768997,483.748383,797.15271
1485,0,103.928841,-72.57122,948.042786,160.764236,30.31776,814.535095,140.185242,33.226299,890.199524,149.547836,93.429596,844.94873,147.373322,170.308899,788.216553,,,,156.466705,394.836151,744.447266,113.788406,397.097076,787.012756,123.19268,298.29007,814.55603,150.711441,483.104858,795.295898
1486,0,104.067932,-72.596863,947.967407,161.00769,29.832594,813.918457,140.421509,33.052803,889.599548,149.865509,93.045128,844.035889,147.800888,169.689133,786.940796,,,,156.428116,394.120819,742.755554,113.811142,396.381256,785.363098,123.445061,297.679016,813.029175,150.652435,482.44931,793.433777
1487,0,104.208076,-72.623337,947.891357,161.253708,29.340631,813.300049,140.659897,32.874851,888.996765,150.186035,92.653336,843.118652,148.232681,169.058228,785.658447,,,,156.388229,393.393982,741.058899,113.832848,395.653381,783.709106,123.699211,297.056213,811.496704,150.591919,481.781738,791.566772
1488,0,104.349236,-72.650581,947.814697,161.502319,28.841904,812.679932,140.900345,32.692451,888.391235,150.509308,92.254181,842.197327,148.668625,168.416138,784.369385,,,,156.347046,392.655731,739.357666,113.853508,394.913391,782.051147,123.95504,296.421692,809.958862,150.529892,481.102142,789.695312
1489,0,104.491379,-72.678612,947.737427,161.753494,28.33642,812.05835,141.142792,32.505592,887.783081,150.835312,91.847679,841.271973,149.108658,167.762833,783.074158,,,,156.304611,391.905975,737.652161,113.873085,394.161346,780.389465,124.212502,295.77536,808.416077,150.466248,480.410431,787.819824
1490,0,104.63446,-72.707352,947.659729,162.007233,27.824203,811.435303,141.387192,32.314259,887.172302,151.163971,91.433815,840.342957,149.552719,167.098206,781.772644,,,,156.26091,391.144623,735.942932,113.891571,393.397125,778.724548,124.471512,295.117096,806.868408,150.401047,479.706482,785.940613
1491,0,104.778465,-72.736832,947.58136,162.263504,27.305258,810.810974,141.63356,32.118443,886.559082,151.495209,91.012573,839.410217,150.000717,166.422256,780.465454,,,,156.215927,390.371765,734.230286,113.908905,392.620728,777.056702,124.732033,294.44693,805.316467,150.334198,478.990417,784.058228
1492,0,104.923355,-72.766991,947.502441,162.522324,26.779598,810.18573,141.881775,31.918131,885.943481,151.828979,90.583946,838.474182,150.452637,165.734924,779.152527,,,,156.169662,389.587372,732.514526,113.925064,391.832123,775.386292,124.99398,293.76474,803.760376,150.265686,478.262054,782.173157
1493,0,105.069077,-72.797836,947.422974,162.783707,26.247225,809.559509,142.131866,31.713303,885.325684,152.165237,90.147903,837.534912,150.908417,165.036179,777.834167,,,,156.122147,388.791351,730.796082,113.940033,391.03125,773.713623,125.257301,293.070465,802.2005,150.195511,477.521423,780.285828
1494,0,105.215622,-72.829353,947.342957,163.047623,25.708149,808.932678,142.383743,31.503935,884.70575,152.503906,89.704437,836.592529,151.367981,164.325928,776.510803,,,,156.07338,387.983643,729.0755,113.953766,390.218079,772.039368,125.521927,292.364075,800.637207,150.123627,476.768402,778.396851
1495,0,105.362946,-72.861526,947.262512,163.314087,25.162359,808.305176,142.637421,31.289999,884.083801,152.844986,89.253525,835.647522,151.831253,163.604141,775.182495,,,,156.023346,387.164337,727.353088,113.966248,389.392517,770.363647,125.787827,291.645447,799.070923,150.050018,476.002991,776.506653
1496,0,105.511017,-72.894371,947.181519,163.583054,24.609865,807.677429,142.892822,31.071468,883.4599,153.188385,88.795128,834.699768,152.298264,162.870758,773.84967,,,,155.972015,386.333282,725.629395,113.977432,388.554565,768.687073,126.054901,290.91452,797.501892,149.974655,475.225098,774.615906
1497,0,105.659798,-72.927872,947.100098,163.854553,24.050657,807.049438,143.149979,30.84831,882.834229,153.534058,88.329224,833.749573,152.76886,162.125748,772.512512,,,,155.919464,385.49054,723.904724,113.987305,387.704224,767.01001,126.32309,290.171204,795.930481,149.897552,474.434662,772.724915
1498,0,105.809265,-72.962029,947.018188,164.12854,23.484724,806.421448,143.408783,30.620491,882.207031,153.881989,87.855797,832.797302,153.243073,161.36908,771.171265,,,,155.865646,384.636047,722.179749,113.995827,386.84137,765.333008,126.592369,289.415466,794.3573,149.818649,473.631714,770.834534
1499,0,105.959381,-72.996857,946.935974,164.405014,22.912062,805.79364,143.669296,30.38797,881.578186,154.232101,87.374794,831.842957,153.720795,160.600677,769.826416,,,,155.810547,383.769714,720.454834,114.002968,385.965942,763.656433,126.862679,288.647247,792.78241,149.737946,472.816071,768.945129
1500,0,106.110107,-73.032349,946.853271,164.683975,22.332651,805.166138,143.931412,30.150702,880.947998,154.584381,86.886185,830.886841,154.202026,159.82048,768.477966,,,,155.754227,382.891663,718.730469,114.008705,385.077881,761.980835,127.133919,287.866364,791.206543,149.655396,471.987793,767.057373
1501,0,106.261436,-73.068542,946.770203,164.965378,21.746481,804.539062,144.195175,29.908651,880.316406,154.938766,86.389923,829.929138,154.686676,159.028473,767.126465,,,,155.696625,382.001709,717.007019,114.013008,384.177246,760.306519,127.406075,287.072815,789.629822,149.57103,471.146729,765.171753
1502,0,106.41333,-73.105431,946.686829,165.249191,21.153524,803.91272,144.460495,29.661762,879.683655,155.295242,85.885971,828.970032,155.174683,158.224564,765.771973,,,,155.637817,381.099884,715.285217,114.015839,383.263885,758.634277,127.679092,286.26651,788.052795,149.484818,470.292877,763.289062
1503,0,106.565735,-73.143059,946.603088,165.535385,20.553764,803.28717,144.727417,29.409992,879.049927,155.653763,85.374298,828.009705,155.666031,157.408737,764.414978,,,,155.577744,380.186127,713.565491,114.017174,382.337738,756.964355,127.952873,285.447327,786.475891,149.396698,469.426117,761.409668
1504,0,106.718666,-73.181404,946.519043,165.823975,19.947172,802.662537,144.995895,29.153286,878.415283,156.014267,84.854836,827.048401,156.16066,156.580948,763.055603,,,,155.516449,379.260468,711.848267,114.016991,381.398865,755.297363,128.227417,284.615295,784.899475,149.306732,468.546509,759.534241
